theta,pf_real,pf_imag,min_eig_imag,delta,E
0.0,2.3383404068012e107,0.0,0.03889144273230598,0.931356984761356,8.401037413473802e-21
0.3306939635357677,-3.0654314491040995e107,0.0,0.24618166012038137,0.9176606301994502,8.536751252058862e-21
0.6613879270715354,3.430279347955833e107,0.0,0.09391992981414228,0.9277210694751702,8.436463825079235e-21
0.9920818906073031,-1.2046733059319194e108,0.0,0.12749974056920743,0.9255023396189413,8.458292691658376e-21
1.3227758541430708,-1.994000866987317e108,0.0,0.13645453435367083,0.9249106665904397,8.464141094425231e-21
1.6534698176788385,-7.040463718355827e107,0.0,0.10802479535522747,0.9267891140653447,8.445613225391042e-21
1.9841637812146062,9.48138799605428e106,0.0,0.07447145326288203,0.929006095048935,8.423894484003415e-21
2.3148577447503738,8.95657184096303e107,0.0,0.02702247020495553,0.9321412072783104,8.393452018408502e-21
2.6455517082861415,1.2465596080742155e108,0.0,0.08614200503582964,0.9282349828516039,8.431430610615832e-21
2.9762456718219092,-1.3722860101346682e107,0.0,0.027332281977484985,0.9321207369833902,8.393649768161883e-21
3.306939635357677,-1.3956707844477927e107,0.0,0.0636695038180484,0.9297198157995832,8.416936375985997e-21
3.6376335988934447,1.1176095515498491e106,0.0,0.018116164975530844,0.932729676506602,8.387772913357646e-21
3.9683275624292125,-3.4790728301203393e108,0.0,0.1712393543343674,0.9226123177641864,8.486968932925773e-21
4.29902152596498,-4.832642471873818e108,0.0,0.10680658749831508,0.9268696051128654,8.444821893157068e-21
4.6297154895007475,-4.047982046896024e107,0.0,0.08378784717888345,0.9283905298962726,8.429908889011224e-21
4.960409453036515,1.2415439939956075e108,0.0,0.10076547577745698,0.9272687614701675,8.440900788538056e-21
5.291103416572283,1.68682891446095e105,0.0,0.00016307423433655358,0.9339158969629833,8.376358519848619e-21
5.621797380108051,-3.996772187765556e106,0.0,0.012153581642650658,0.9331236442319537,8.383977019749793e-21
5.9524913436438185,-1.9012805608531118e108,0.0,0.12520390909666057,0.9256540328452721,8.456795131663554e-21
6.283185307179586,-6.068359629145453e107,0.0,0.06507801513908681,0.9296267507688235,8.417842741247361e-21
